update_step,total_steps,avg_step_reward,avg_episode_reward,avg_episode_length,n_finished,n_total,policy_loss,value_loss,entropy
304,2490368,0.9705,0.0000,128.0000,0,64,0.0011,0.0097,2.9926
305,2498560,0.9705,0.0000,128.0000,0,64,0.0033,0.0065,3.0100
306,2506752,0.9705,0.0000,128.0000,0,64,-0.0014,0.0056,3.1000
307,2514944,0.9705,0.0000,128.0000,0,64,0.0003,0.0065,3.1050
308,2523136,0.9705,0.0000,128.0000,0,64,0.0099,0.0074,3.0710
309,2531328,0.9705,0.0000,128.0000,0,64,0.0000,0.0080,3.0602
310,2539520,0.9705,0.0000,128.0000,0,64,0.0015,0.0069,3.0839
311,2547712,0.9705,0.0000,128.0000,0,64,-0.0000,0.0240,3.1048
312,2555904,0.9705,0.0000,128.0000,0,64,-0.0016,0.0097,3.1279
313,2564096,0.9705,0.0000,128.0000,0,64,-0.0012,0.0193,3.1252
314,2572288,0.9705,0.0000,128.0000,0,64,-0.0014,0.0057,3.1446
315,2580480,0.9705,0.0000,128.0000,0,64,0.0016,0.0065,3.1354
316,2588672,0.9705,0.0000,128.0000,0,64,0.0005,0.0219,3.1065
317,2596864,0.9705,0.0000,128.0000,0,64,-0.0035,0.0203,3.1254
318,2605056,0.9705,0.0000,128.0000,0,64,-0.0005,0.0081,3.1427
319,2613248,0.9705,0.0000,128.0000,0,64,0.0008,0.0058,3.1556
320,2621440,0.9705,0.0000,128.0000,0,64,0.0009,0.0075,3.1274
321,2629632,0.9705,0.0000,128.0000,0,64,0.0004,0.0064,3.0699
322,2637824,0.9705,0.0000,128.0000,0,64,0.0006,0.0057,3.0662
323,2646016,0.9705,0.0000,128.0000,0,64,0.0018,0.0055,3.0586
324,2654208,0.9705,0.0000,128.0000,0,64,0.0023,0.0061,3.1503
325,2662400,0.9705,0.0000,128.0000,0,64,-0.0016,0.0080,3.0536
326,2670592,0.9705,0.0000,128.0000,0,64,0.0019,0.0057,3.1172
327,2678784,0.9705,0.0000,128.0000,0,64,0.0027,0.0109,3.1219
328,2686976,0.9705,0.0000,128.0000,0,64,0.0023,0.0058,3.0961
329,2695168,0.9705,0.0000,128.0000,0,64,0.0038,0.0054,3.1106
330,2703360,0.9705,0.0000,128.0000,0,64,0.0015,0.0050,3.1275
331,2711552,0.9705,0.0000,128.0000,0,64,0.0009,0.0053,3.1223
332,2719744,0.9705,0.0000,128.0000,0,64,0.0019,0.0058,3.1448
333,2727936,0.9705,0.0000,128.0000,0,64,0.0008,0.0210,3.1035
334,2736128,0.9705,0.0000,128.0000,0,64,-0.0016,0.0079,3.1080
335,2744320,0.9705,0.0000,128.0000,0,64,0.0006,0.0091,3.1332
336,2752512,0.9705,0.0000,128.0000,0,64,0.0009,0.0070,3.1370
337,2760704,0.9705,0.0000,128.0000,0,64,0.0001,0.0056,3.1290
338,2768896,0.9705,0.0000,128.0000,0,64,-0.0003,0.0089,3.1661
339,2777088,0.9705,0.0000,128.0000,0,64,-0.0014,0.0074,3.1693
340,2785280,0.9704,0.0000,128.0000,0,64,0.0052,0.0214,3.2195
341,2793472,0.9704,0.0000,128.0000,0,64,-0.0003,0.0071,3.1624
342,2801664,0.9704,0.0000,128.0000,0,64,0.0010,0.0094,3.1596
343,2809856,0.9704,0.0000,128.0000,0,64,0.0010,0.0057,3.1095
344,2818048,0.9705,0.0000,128.0000,0,64,0.0021,0.0090,3.1331
